user_id,email_creates_30d,email_publishes_30d,email_tests_30d,total_builder_events_30d
26272635,3,3,0,6
18214059,0,1,0,1
13702635,0,1,0,1
9387677,28,29,1,58
25314263,68,54,1,123
18273751,2,1,0,3
21138023,2,4,0,6
34124809,2,2,0,4
32511194,1,2,0,3
1409461,1,2,0,3
6196846,50,29,4,83
32904778,3,3,0,6
22129463,3,1,1,5
29717523,3,2,0,5
6254754,3,3,0,6
13878271,8,5,0,13
23004547,2,3,0,5
12642507,4,3,0,7
31794947,4,3,0,7
8400141,3,3,0,6
30805647,28,18,3,49
6224298,5,7,0,12
34909981,4,3,0,7
14125831,4,4,0,8
25547859,4,8,0,12
5116254,4,10,0,14
34545577,4,4,0,8
27658231,4,4,0,8
17185123,4,4,0,8
36002,4,4,0,8
1349533,5,4,0,9
12057727,6,4,0,10
2065765,4,4,0,8
6163278,9,5,2,16
12339771,11,4,10,25
4506410,6,4,2,12
25599472,5,4,0,9
13963387,9,4,0,13
9998851,6,4,0,10
1624457,5,5,0,10
12531427,5,4,0,9
18027383,5,3,0,8
34749425,5,5,0,10
9141705,10,5,5,20
3040086,7,5,1,13
4263574,4,6,0,10
10018971,7,5,1,13
20220504,10,6,0,16
27254091,8,5,3,16
23287111,5,5,1,11
18655595,6,5,0,11
29687147,4,5,0,9
30218371,4,5,0,9
25252999,5,5,0,10
29626823,6,5,0,11
14943267,4,5,0,9
15909787,7,5,0,12
14414619,6,5,0,11
18415823,4,5,0,9
26734007,4,5,0,9
922269,6,5,0,11
23483231,6,6,0,12
6956689,9,7,0,16
8881709,7,6,0,13
581317,17,9,10,36
2900926,286,219,7,512
30408387,53,41,6,100
21132719,7,7,0,14
28171883,7,4,0,11
283617,9,7,0,16
13876627,9,10,0,19
4540954,8,8,0,16
32725578,6,7,0,13
9181141,9,7,0,16
18007063,8,7,0,15
5681126,9,7,0,16
21854696,7,8,0,15
7949041,9,7,0,16
3127738,31,22,7,60
20245052,8,4,0,12
19517323,9,8,0,17
31583847,9,8,0,17
33262297,9,4,0,13
32839166,11,8,1,20
31867963,14,8,0,22
5632642,11,8,0,19
3545730,9,8,0,17
31149575,10,8,0,18
7599929,25,21,0,46
2193257,6,8,0,14
8946221,68,55,8,131
13970275,10,8,0,18
15884243,9,9,0,18
10579731,9,9,0,18
33684621,10,9,0,19
12394983,19,9,0,28
9590993,7,9,0,16
6171510,18,9,9,36
1352645,15,9,0,24
21041147,10,9,0,19
31198379,16,9,0,25
7532325,10,9,0,19
22402895,8,9,0,17
81462,13,9,0,22
8220693,10,10,0,20
6359906,11,11,0,22
26728359,10,9,0,19
34080037,14,14,0,28
22821955,11,10,0,21
30914835,16,11,0,27
10846423,10,10,0,20
31109259,10,10,0,20
25059815,11,9,0,20
419449,11,6,0,17
15370895,13,12,0,25
12881919,16,11,0,27
27619755,11,11,0,22
15109327,10,11,0,21
1827289,21,12,0,33
4582018,19,11,1,31
31973755,18,11,1,30
8787965,17,11,0,28
47856,12,6,0,18
14264791,22,12,0,34
11222351,2769,12,2747,5528
29302923,21,12,0,33
18018091,13,12,0,25
25458347,27,12,0,39
4476350,31,12,0,43
28811099,14,12,0,26
1836641,10,12,0,22
3219422,15,12,0,27
17929747,14,14,0,28
32457530,15,15,0,30
32324674,15,11,0,26
643689,13,11,0,24
27998515,18,14,5,37
34180721,18,13,0,31
17190915,20,14,0,34
9804375,15,13,0,28
2373382,13,13,0,26
18482351,51,27,13,91
15493475,14,11,0,25
28269479,21,15,0,36
29618939,13,14,0,27
21045827,19,15,0,34
29687659,20,14,1,35
28839691,18,14,0,32
21303764,12,14,0,26
9746261,44,15,0,59
22161659,18,15,0,33
11246647,17,10,0,27
18018179,16,12,0,28
9311165,23,16,0,39
720469,27,16,1,44
1957109,17,14,0,31
34351721,20,17,0,37
447265,18,18,0,36
2507390,19,18,1,38
31288191,18,17,2,37
