user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
407261,61,42,0,0,0,0,0,0,0,45,103
4333294,164,153,2,0,4,0,0,0,0,81,319
108344,209,173,0,0,0,0,0,0,0,71,382
11483111,1295,492,0,0,0,0,0,0,0,78,1787
228968650,33,6,23,0,0,0,0,0,0,26,62
184027522,439,406,0,0,0,0,0,0,0,91,845
52419693,25,19,0,0,0,0,0,0,0,35,44
62456617,39,37,0,0,0,0,0,0,0,43,76
70216225,94,87,1,0,0,0,0,0,0,55,182
58617169,223,187,3,0,0,0,0,0,0,55,413
50453297,199,168,0,0,0,0,0,0,0,56,367
62438977,635,200,430,0,0,0,0,0,0,90,1265
49056353,273,213,2,0,0,0,0,0,0,67,488
162461094,334,306,0,0,0,0,0,0,0,61,640
218701,46,21,2,0,19,0,0,0,0,35,69
77233,181,82,10,0,0,0,0,0,0,62,273
498781,124,99,0,0,0,0,0,0,0,62,223
778713,294,168,95,0,0,0,0,0,0,65,557
203909,252,117,2,0,0,0,0,0,0,65,371
139357,18,14,0,0,0,0,0,0,0,26,32
856501,55,36,2,0,0,0,0,0,0,48,93
644517,77,57,0,0,0,0,0,0,0,35,134
485481,61,52,0,0,0,0,0,0,0,46,113
1180545,85,80,1,0,0,0,0,0,0,75,166
127288,109,94,0,0,0,0,0,0,0,76,203
425321,249,215,0,0,157,0,0,0,0,69,464
250208735,11,0,1,0,0,0,0,0,0,6,12
1344501,8,6,0,0,0,0,0,0,0,12,14
1349533,15,11,1,0,0,0,0,0,0,16,27
1907409,33,17,6,0,0,0,0,0,0,20,56
923849,43,34,4,0,0,0,0,0,0,37,81
1450493,58,49,0,0,0,0,0,0,0,75,107
61323,66,64,0,0,0,0,0,0,0,63,130
1648413,103,96,0,0,0,0,0,0,0,89,199
285969,178,154,0,0,0,0,0,0,0,71,332
89248,316,267,0,0,0,0,0,0,0,81,583
249292306,138,61,4,0,0,0,0,0,0,34,203
3533662,9,9,0,0,0,0,0,0,0,13,18
2440474,10,10,0,0,0,0,0,0,0,14,20
4255686,57,33,6,0,0,0,0,0,0,28,96
3813142,27,26,0,0,0,0,0,0,0,37,53
4358502,22,22,0,0,0,0,0,0,0,29,44
3661166,29,26,0,0,0,0,0,0,0,33,55
647105,39,33,0,0,0,0,0,0,0,29,72
3225302,208,60,0,0,0,0,0,0,0,54,268
1886805,62,54,0,0,0,0,0,0,0,31,116
3497830,95,88,0,0,0,0,0,0,0,68,183
2803598,115,96,0,0,0,0,0,0,0,68,211
1528925,308,110,2,0,0,0,0,0,0,68,420
3440054,151,131,0,0,0,0,0,0,0,66,282
3597122,169,156,0,0,0,0,0,0,0,44,325
88739,468,328,9,0,0,0,0,0,0,89,805
2665370,926,889,7,0,0,0,0,0,0,89,1822
247431567,62,37,0,0,0,0,0,0,0,30,99
247565664,194,142,0,0,0,0,0,0,0,54,336
2927378,28,26,0,0,0,0,0,0,0,26,54
2792978,47,36,0,0,0,0,0,0,0,32,83
3417410,83,52,15,0,0,0,0,0,0,61,150
4544050,68,63,1,0,0,0,0,0,0,69,132
1418513,149,128,0,0,0,0,0,0,0,64,277
1699341,109,86,1,0,0,0,0,0,0,54,196
139944,191,115,14,0,0,0,0,0,0,66,320
124232,334,314,1,0,0,0,0,0,0,90,649
4085241,311,308,0,0,0,0,0,0,0,36,619
4787910,1169,987,3,0,0,0,0,0,0,90,2159
133675,13,11,0,0,0,0,0,0,0,20,24
55233,87,83,0,0,0,0,0,0,0,78,170
204497,135,106,0,0,0,0,0,0,0,79,241
237806742,4,3,0,0,0,0,0,0,0,5,7
248037512,28,23,0,0,0,0,0,0,0,20,51
238150462,76,71,0,0,0,0,0,0,0,83,147
241465466,161,143,0,0,0,0,0,0,0,64,304
240318070,206,183,0,0,0,0,0,0,0,70,389
4534173,1,1,0,0,0,0,0,0,0,2,2
23630383,130,78,11,0,0,0,0,0,0,59,219
8269365,10,9,0,0,0,0,0,0,0,13,19
15944307,18,12,0,0,0,0,0,0,0,16,30
