user_id,email_creates_prev30d,email_publishes_prev30d,total_builder_events_prev30d
249953259,2,0,2
142244417,9,10,20
173764025,4,3,7
198102086,4,1,5
176659381,7,7,14
146244342,9,9,18
184832146,9,9,18
182559870,13,9,23
159154170,11,10,21
175718929,16,13,29
153341938,20,14,34
189261726,21,19,40
180376990,21,16,37
187641246,22,21,44
166894102,15,10,26
198272006,46,25,72
162393282,38,31,70
158691142,42,25,67
167282606,64,44,108
182044518,66,76,142
174830329,42,34,77
141874525,38,34,72
186307830,44,44,88
191388998,50,41,96
168601870,76,66,142
164533790,54,49,103
200695602,64,50,115
141146309,35,26,61
150272102,42,38,80
186665246,65,60,125
176525769,60,52,112
197366126,64,60,124
170869193,79,67,151
141227473,90,85,175
197044370,136,130,266
154713806,110,90,200
151271454,85,76,161
164643486,118,104,222
189360926,230,212,442
247958828,0,1,1
246418914,2,2,4
248573471,3,3,6
247352015,4,4,8
242430514,8,4,16
240593626,5,5,10
249447523,8,2,10
245957222,8,8,16
242753542,16,10,26
242911118,7,10,17
248040468,15,12,27
243975942,20,16,38
248341576,14,14,28
247152763,17,11,29
242864182,32,21,53
248867845,32,30,62
249207584,50,40,90
247996635,33,36,72
243598282,45,40,85
243916218,72,60,132
26960899,4,0,4
35261513,5,2,7
34973773,7,6,13
14386243,6,3,9
7967181,7,4,11
21577279,8,4,12
31309527,2,4,6
18871471,7,7,14
11803835,12,7,20
20334036,7,3,10
917421,7,4,11
14839999,10,10,20
46563921,8,7,15
18893135,18,10,28
6329694,9,8,17
3905370,17,11,28
46074409,25,15,43
10757543,13,10,23
38443577,17,16,33
8426701,25,15,40
13657179,20,10,30
50842329,14,12,27
24477319,29,27,56
45994281,22,14,36
13791,32,28,60
18121667,9,13,22
26147443,18,20,38
949265,24,14,38
9846051,18,12,30
31901615,43,20,83
2255778,38,32,72
26132331,16,13,29
35785629,26,6,32
31637891,15,19,34
13250427,24,17,45
7003785,70,32,106
25789507,33,26,62
16909179,21,19,40
6199210,40,23,79
26646907,38,26,64
13829503,30,19,51
21777380,28,21,49
49469473,26,17,43
38195097,73,42,140
27972083,54,53,107
41085349,38,37,75
1931105,56,40,98
10454967,36,24,73
12572383,26,17,43
7256169,44,34,78
32515134,33,32,65
34330521,42,40,82
25935475,51,49,102
19606763,59,50,109
1157701,69,51,138
23489755,77,51,128
40728765,135,63,198
15059151,68,62,130
1961913,80,78,158
40339549,141,93,235
1409505,129,83,218
34176489,129,124,253
131530,148,97,248
32087298,216,180,396
17557491,206,176,383
22554535,303,201,517
38352573,264,224,488
434945,574,543,1129
45982397,734,545,1281
103683,31,20,53
3424758,6,4,10
1832713,4,3,7
739901,5,4,9
4546234,3,3,6
3154534,5,4,10
3984746,14,4,18
3095222,6,7,13
4129902,3,0,3
3792546,5,5,10
66130,7,6,13
3276310,15,18,33
3130434,9,10,19
4434870,11,8,19
4255686,24,9,35
1773909,13,9,22
3661166,9,8,17
4320390,143,105,258
3685982,11,5,20
4410270,18,12,30
2783158,8,9,17
4538982,15,9,24
2876750,8,7,15
1251593,14,13,27
4114570,19,15,34
3813502,27,16,51
1125441,13,12,25
53581,12,13,25
2701262,13,10,23
1329985,20,14,34
2315070,16,14,31
1647257,30,18,48
1192173,19,15,34
2951626,34,33,67
1096149,17,16,33
2189689,22,20,42
4475514,32,32,64
2107717,29,27,56
3386110,27,21,52
3154986,30,24,54
405049,22,22,44
3373398,40,22,62
4710914,26,24,50
1638325,27,18,47
3224650,39,30,69
407161,27,24,51
1886805,34,26,60
55233,28,27,55
1706941,36,18,59
2936722,28,26,54
4448826,25,11,46
2837106,30,24,54
4202454,25,11,36
1086937,33,32,65
4219622,47,46,93
3631646,25,38,63
545617,30,25,55
199633,40,22,62
105052,34,34,68
3051830,75,38,114
163929,35,30,65
27260,112,61,175
3767958,42,42,84
3926070,35,36,72
1444845,59,51,111
2194769,23,17,41
4129374,101,80,184
2725742,61,59,120
1361337,74,49,127
386477,92,82,174
2999610,76,64,140
1183725,75,67,142
2356946,70,62,132
2678886,77,69,146
4940658,67,65,132
3096190,99,79,183
75363,98,94,192
3339126,187,140,327
3150442,268,151,419
3975454,143,135,278
1968257,202,191,394
15187367,1,1,2
7227193,2,0,2
4341706,2,1,3
7978605,1,1,2
8658389,4,2,6
14043235,1,1,2
5156562,5,3,8
4420146,7,4,11
13928703,3,2,5
1828781,4,4,8
8459205,11,7,18
15415559,2,2,4
6734582,4,4,8
452817,10,9,19
4185374,73,7,111
11224671,4,4,8
8412157,9,7,16
12039607,5,5,10
5547594,13,8,21
15801883,53,46,105
1064913,4,4,8
13529931,9,6,15
