simulation,total_revenue
0,20067947.236030813
1,20088485.986085314
2,20071794.88239905
3,20070217.784806307
4,20081046.906801037
5,20072071.26424477
6,20070180.07800535
7,20086730.42210825
8,20084075.869681653
9,20048552.72553532
10,20083307.11339959
11,20080557.8292688
12,20082418.576426353
13,20091085.96578932
14,20108198.763268918
15,20096322.27262293
16,20072445.22837081
17,20122729.901232872
18,20097589.430819973
19,20095236.20926356
20,20128300.71732814
21,20107584.460574266
22,20113943.536470637
23,20075060.74934641
24,20059277.294615142
25,20057802.36377145
26,20082292.785280272
27,20111938.061817393
28,20094228.46827467
29,20094639.17089849
30,20103082.75209271
31,20075631.8385782
32,20077058.706180744
33,20084541.853874113
34,20059199.34600986
35,20087372.731046245
36,20077410.691478133
37,20091452.77652521
38,20096807.975171655
39,20098054.058132973
40,20080523.99455029
41,20104987.6665267
42,20110494.257678118
43,20122474.07726301
44,20085820.979800787
45,20087828.125459787
46,20086995.08730833
47,20097886.749494437
48,20092911.40292772
49,20108291.711540174
50,20044176.219023142
51,20092664.880890504
52,20045600.52087442
53,20082842.17943546
54,20058210.908614416
55,20089922.42866245
56,20098262.411086746
57,20077296.86503368
58,20074328.028967075
59,20079575.579055708
60,20076379.020929273
61,20066130.101655297
62,20071259.898662135
63,20063090.28362031
64,20106989.011672255
65,20077869.784405317
66,20054176.94874055
67,20097235.164690822
68,20085119.582434867
69,20099847.099049076
70,20078661.142892387
71,20072921.054699834
72,20144027.090839807
73,20096824.135062493
74,20070372.459723014
75,20065250.185876388
76,20083122.51845424
77,20103475.00715956
78,20062065.664634664
79,20118499.62277034
80,20093304.050315302
81,20099496.856767148
82,20086618.993376546
83,20090525.455284905
84,20082352.469958056
85,20066522.52597068
86,20094173.785410613
87,20090444.78168257
88,20099331.31760431
89,20083641.721964154
90,20098396.185948517
91,20072789.28345392
92,20077611.56257529
93,20124803.153328754
94,20112851.917562515
95,20091032.687842246
96,20088792.4119872
97,20086386.153745476
98,20071666.922008477
99,20048048.983129833
100,20092309.38262191
101,20091668.75308568
102,20101922.269767214
103,20115454.6239999
104,20074920.02163582
105,20072549.128009927
106,20059203.38782597
107,20093788.32645139
108,20089266.352174267
109,20082550.89309356
110,20114120.72416831
111,20088905.357478127
112,20109597.864090804
113,20103354.986117985
114,20068695.711358193
115,20092649.592459247
116,20070366.4904296
117,20086960.79441013
118,20068776.422585677
119,20096912.152016215
120,20101352.425087817
121,20110173.353035588
122,20099725.568898674
123,20089055.827987
124,20094245.994498335
125,20056671.945680134
126,20090587.646959938
127,20119320.106612753
128,20105076.517644603
129,20100807.60358648
130,20081751.46186692
131,20086748.932401676
132,20087773.62691494
133,20113174.510516442
134,20101962.729964063
135,20065838.84644078
136,20079563.562185016
137,20092543.45857304
138,20071755.50033814
139,20074263.757476587
140,20051371.295207594
141,20078695.553461794
142,20083671.932013817
143,20090601.850826126
144,20119880.29798935
145,20110841.821195893
146,20063166.0807818
147,20126080.48965732
148,20099705.853122286
149,20052194.58008
150,20079923.615356795
151,20095306.07432484
152,20062197.326863784
153,20049929.81894153
154,20089415.70900965
155,20059971.023218695
156,20082453.51110818
157,20088378.19639294
158,20084107.28667016
159,20087459.343126915
160,20072841.17440779
161,20115444.45091629
162,20076778.879197996
163,20080390.546829585
164,20114556.08593227
165,20065855.527118098
166,20068422.83014739
167,20063846.872322585
168,20121928.950690415
169,20058529.194414165
170,20084566.337277897
171,20096092.081319608
172,20084910.016408067
173,20073973.41710909
174,20079528.54212342
175,20066540.671563618
176,20080890.315233666
177,20110983.36267343
178,20091576.77053799
179,20132594.015613195
180,20072283.42903639
181,20106141.547550563
182,20118863.50397104
183,20102225.785475247
184,20084717.889178045
185,20078529.736986794
186,20141822.858394586
187,20086631.715228323
188,20077513.411707763
189,20065110.817494996
190,20085363.707646027
191,20079076.12923457
192,20089010.305394523
193,20052464.31066224
194,20129552.70963441
195,20050676.019452445
196,20086586.629845716
197,20096211.288904686
198,20079018.56091196
199,20102852.565214667
200,20111029.409938272
201,20085172.02009756
202,20072550.022213392
203,20089355.040914245
204,20074403.914650936
205,20071970.881776083
206,20097325.918062035
207,20079289.311095838
208,20089314.01223105
209,20100922.47813017
210,20061067.96050115
211,20083898.71875719
212,20075004.35087121
213,20114951.812515493
214,20099668.403191265
215,20109130.181388695
216,20108158.831883468
217,20102587.69122375
218,20087955.67165015
219,20072707.77578257
220,20063754.87695642
221,20087166.886685997
222,20052139.92004683
223,20076668.115969125
224,20063845.967182428
225,20086134.841004964
226,20110720.335603394
227,20080576.828055445
228,20037673.7974594
229,20064817.820461668
230,20062814.508258905
231,20100798.61427056
232,20070993.785321575
233,20105739.372107144
234,20085178.932904888
235,20087082.373805698
236,20078581.782413173
237,20083712.245574906
238,20068183.54537115
239,20110880.085977245
240,20092414.609353382
241,20071769.048297193
242,20080428.661459994
243,20069472.707763445
244,20067408.111684382
245,20087822.937349908
246,20076155.80091286
247,20082943.295404762
248,20093160.459627103
249,20124783.395860538
250,20080015.115740106
251,20052500.72334208
252,20077920.124365743
253,20064794.214470703
254,20083345.269696504
255,20092989.152939964
256,20074776.56629062
257,20107778.447530538
258,20066721.58310245
259,20104813.259043407
260,20107414.35685312
261,20131909.1989967
262,20048123.044583756
263,20095720.15119148
264,20100401.58654577
265,20062545.707345087
266,20083820.79182555
267,20088221.90737626
268,20055969.377981845
269,20088509.84777696
270,20087032.834180463
271,20117769.5543856
272,20075369.669023648
273,20099185.799378794
274,20089111.979630653
275,20139756.25906167
276,20094599.722639956
277,20086520.166247163
278,20084054.13876374
279,20097796.030045502
280,20090074.635623083
281,20055991.28369999
282,20084726.353257593
283,20119583.285527773
284,20070069.676203147
285,20076592.11402406
286,20095394.58915162
287,20053228.144386835
288,20110651.61859364
289,20065257.52831221
290,20063242.24314163
291,20069558.092252478
292,20111114.49828734
293,20066481.033802904
294,20086600.764131654
295,20079142.82206563
296,20092918.560441952
297,20083287.37187743
298,20065095.060218077
299,20060025.731283512
300,20073140.450220704
301,20112120.62997772
302,20082568.61614436
303,20067469.118380424
304,20064006.18323571
305,20076212.094505142
306,20090461.058603
307,20063385.250256572
308,20090710.266006466
309,20080170.079702914
310,20088660.206230946
311,20073717.893356394
312,20069882.55048969
313,20078637.538701765
314,20105926.28234853
315,20106412.71483681
316,20083567.695073348
317,20067439.82187749
318,20094756.687236197
319,20090509.24740449
320,20079865.225687977
321,20089187.474000864
322,20095658.363701552
323,20077558.127004974
324,20086970.528217513
325,20091006.69860547
326,20099880.28246506
327,20099508.835174333
328,20097583.777469315
329,20111703.51858765
330,20095880.887877937
331,20080781.451380372
332,20078006.227154456
333,20078030.087791685
334,20040392.210666206
335,20058302.859245375
336,20071701.993768234
337,20067053.356404852
338,20072223.305379428
339,20123352.408100214
340,20079123.49930195
341,20092492.444992647
342,20095145.576410107
343,20119610.342072695
344,20108178.600146823
345,20115249.182122666
346,20095440.058372084
347,20115594.833240397
348,20087104.268912967
349,20093936.384456962
350,20088296.944335274
351,20078079.545976173
352,20058093.430259068
353,20077561.15471085
354,20104358.505793847
355,20103338.945683453
356,20101967.350306436
357,20043562.10309337
358,20060100.928731047
359,20079198.917179406
360,20059059.083427645
361,20093077.952161375
362,20123824.148810677
363,20059868.322050992
364,20110874.281428892
365,20042432.956099205
366,20095755.456767194
367,20057852.25820894
368,20108445.77512669
369,20078950.067931112
370,20079161.522141434
371,20143345.293841258
372,20085787.298913687
373,20133760.251450334
374,20067731.37066389
375,20084980.942420315
376,20103484.343643904
377,20066296.820119828
378,20108495.94238938
379,20079579.84594821
380,20033932.53804569
381,20111704.935359504
382,20096305.483319685
383,20083536.25138713
384,20072246.840358686
385,20084494.960628342
386,20059702.416438546
387,20096055.17896545
388,20086879.2622853
389,20073670.845060445
390,20077660.226863228
391,20087107.63678299
392,20097686.08726037
393,20075536.44307468
394,20069579.183228765
395,20092366.054856326
396,20059937.580123026
397,20119999.121726975
398,20077620.945453577
399,20099393.3903613
400,20069167.676797643
401,20075525.142191373
402,20086955.580643065
403,20085797.144270066
404,20077173.231770284
405,20074935.847596087
406,20083526.994164087
407,20087258.31140043
408,20089472.702754073
409,20108566.2092348
410,20098266.353875108
411,20139013.460717242
412,20068670.522045538
413,20084608.45552862
414,20114086.011119053
415,20077262.830307536
416,20073742.345437527
417,20069485.366814464
418,20095793.30328049
419,20051527.43618708
420,20083797.236437228
421,20060920.97477189
422,20127338.370665826
423,20107417.86298905
424,20097120.28000236
425,20065085.264860783
426,20100442.514520023
427,20105637.055561528
428,20085539.257244445
429,20074611.749267094
430,20062021.727766737
431,20093227.60363203
432,20128178.522804435
433,20101150.999111786
434,20088047.909756158
435,20084663.481492754
436,20083100.35890322
437,20086833.07236883
438,20072797.06676027
439,20118590.76642943
440,20099286.81758495
441,20050418.229076453
442,20043472.367016044
443,20107518.592002254
444,20090678.763268672
445,20040064.73060594
446,20079388.67111776
447,20067275.556347378
448,20108575.594026834
449,20088461.210837334
450,20113388.06857863
451,20076929.243103854
452,20114318.5546451
453,20085329.2783682
454,20070611.176089495
455,20101923.55741553
456,20078937.252859864
457,20082828.315009408
458,20078593.821383376
459,20098139.810071386
460,20069470.02301257
461,20108477.828574114
462,20084612.91829275
463,20060495.246715836
464,20072128.970519103
465,20052409.37086807
466,20073161.01433258
467,20070710.52992827
468,20087254.541726712
469,20100908.740180008
470,20091236.823293798
471,20091429.626319
472,20076473.780233648
473,20094502.6214082
474,20095229.92078367
475,20107700.247810766
476,20092506.20794046
477,20095863.879070923
478,20049355.566745307
479,20067969.34004712
480,20065994.978984572
481,20103845.62079474
482,20088973.782169655
483,20048595.42333191
484,20112952.78459169
485,20078025.018130686
486,20105460.01795755
487,20059197.762520608
488,20084585.739405397
489,20087153.82826814
490,20110553.673069317
491,20102006.133628972
492,20097809.29714807
493,20094026.08233527
494,20084795.957211625
495,20073778.627618887
496,20070948.79395246
497,20080407.40058153
498,20057647.678591773
499,20062233.33297564
500,20060355.419577852
501,20117590.285933346
502,20073951.27164407
503,20050621.46109083
504,20063446.846737973
505,20081353.673892867
506,20093815.503199898
507,20075277.339329675
508,20091894.603876423
509,20019042.20082572
510,20053939.791529972
511,20095472.011862144
512,20054016.00395031
513,20092715.864506584
514,20072284.206628706
515,20085424.633340668
516,20074135.29179478
517,20073577.797697835
518,20071749.489823736
519,20087971.299988702
520,20080364.64220723
521,20067710.71779564
522,20044232.490469538
523,20093938.410537995
524,20052378.57106645
525,20087913.610069823
526,20071074.62402001
527,20066069.273197085
528,20119162.254920777
529,20093691.91101582
530,20088896.218109366
531,20089797.44766847
532,20077997.407320876
533,20059738.8518501
534,20069538.3693836
535,20094253.488495335
536,20044318.404644504
537,20095185.11535504
538,20090915.09924669
539,20078710.166588966
540,20084201.390165776
541,20078744.70576596
542,20075545.665694833
543,20101065.32373221
544,20066013.872829076
545,20047253.447613243
546,20094527.157770373
547,20109164.67941946
548,20068990.292750005
549,20059740.15789493
550,20106823.896481458
551,20086312.168352403
552,20060922.957052343
553,20087956.654482502
554,20105602.17024392
555,20065472.550094835
556,20085519.601407953
557,20083062.076620582
558,20075720.47246914
