feature,importance
email_publishes_90d,0.49684223007484307
avg_mrr,0.0
avg_engagement_score,0.0
publishes_trend,0.0
events_trend,0.0
avg_open_rate,0.0
avg_click_rate,0.0
avg_bounce_rate,0.0
avg_health_score,0.0
avg_deliverability_score,0.0
total_builder_events_30d,0.0
friction_score,0.0
email_completion_rate,0.0
email_abandonment_rate,0.0
total_delivered_3mo,0.0
total_revenue_3mo,0.0
creates_trend,0.0
email_publishes_30d,0.0
plan_amount,0.0
email_creates_30d,0.0
total_builder_events_90d,0.0
builder_active_days_90d,0.0
automation_creates_90d,0.0
sms_creates_90d,0.0
ai_content_creates_90d,0.0
ca_template_creates_90d,0.0
email_tests_90d,0.0
email_creates_90d,0.0
list_count,0.0
subscribed_size,0.0
list_size,0.0
tenure_months,0.0
total_orders_3mo,0.0
