feature,importance
avg_click_rate,0.01523178746823869
friction_score,0.007423825833824826
avg_bounce_rate,0.005667895125942501
avg_health_score,0.005664480175288533
total_delivered_3mo,0.004035733305275369
avg_mrr,0.003331607398813641
plan_amount,0.002302599700407326
list_size,0.0018605943306281402
email_completion_rate,0.0013338612662452843
avg_open_rate,0.0013143868179213204
list_count,0.0012752533293461598
events_trend,0.0012197834552101772
sms_creates_90d,0.0011989245674318804
avg_deliverability_score,0.001170035930818658
email_tests_90d,0.0008769962463231918
total_orders_3mo,0.0008465385783283819
email_publishes_90d,0.0004899992708619072
total_builder_events_90d,9.275744343875125e-05
email_creates_30d,0.0
tenure_months,0.0
email_abandonment_rate,0.0
creates_trend,-6.045385617148291e-05
ca_template_creates_90d,-0.0004018566256041356
publishes_trend,-0.0005841411537549246
total_builder_events_30d,-0.0006600084358510449
builder_active_days_90d,-0.0012788528719273272
ai_content_creates_90d,-0.001851641622156941
subscribed_size,-0.002233839207509902
email_publishes_30d,-0.002772847635054354
automation_creates_90d,-0.0033535738381553102
email_creates_90d,-0.004315113187154973
total_revenue_3mo,-0.0061104542715033185
avg_engagement_score,-0.01809628499516829
